,feature,rmse
308,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_18",118.77823023516083
309,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_19",118.52486311993877
310,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_20",118.64097047537027
311,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_21",118.6445280021753
312,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_22",118.18295679146087
313,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_23",118.54042493961174
314,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_24",118.66460598082932
315,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_25",118.3791287213814
316,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_26",118.51915547381635
317,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_27",118.47982083776532
318,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_28",118.09832774944691
319,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_29",118.61246589069792
320,"Gamma(gapi)__fft_coefficient__attr_""imag""__coeff_30",118.49882441008222
321,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_0",6926.598540925251
322,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_2",107.08747732150313
323,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_3",63.03763001726519
324,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_4",53.527793996249216
325,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_5",56.3195420044154
326,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_6",63.11971006750166
327,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_7",69.21671790054995
328,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_8",70.17564737968085
329,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_9",74.77522057582884
330,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_10",81.70419580849006
331,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_11",85.9676673154317
332,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_12",88.73740193870687
333,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_13",92.09118293799034
334,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_14",94.56533064674699
335,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_15",97.58874699175172
336,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_16",100.51989768559216
337,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_17",101.77352613197353
338,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_18",103.00425016427342
339,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_19",103.97378004132894
340,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_20",104.53164154494814
341,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_21",104.66276639150739
342,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_22",105.03531436383156
343,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_23",104.80724392453926
344,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_24",105.37621487809704
345,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_25",105.34348753959804
346,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_26",105.29789642356874
347,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_27",104.9487259020857
348,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_28",105.07993148406008
349,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_29",105.30287464992591
350,"Gamma(gapi)__fft_coefficient__attr_""abs""__coeff_30",105.2338577365068
351,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_0",118.49882441008222
352,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_1",126.52805867753236
353,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_2",120.51767850799388
354,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_3",119.92491185899055
355,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_4",126.5931977973082
356,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_5",124.87263395386434
357,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_6",115.75382369203643
358,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_7",112.30763657263762
359,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_8",129.27407683014542
360,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_9",118.43574446613178
361,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_10",131.1205083321579
362,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_11",112.53075161615213
363,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_12",99.03698861091382
364,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_13",116.24898584584052
365,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_14",99.08994071397072
366,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_15",101.82407491221875
367,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_16",104.47586130334972
368,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_17",107.36774254015619
369,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_18",96.64830950728377
370,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_19",88.03932664250655
371,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_20",71.41819205093803
372,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_21",83.23484106270989
373,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_22",75.69382411187418
374,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_23",85.93049521861565
375,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_24",93.19129638892899
376,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_25",83.84710946989715
377,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_26",91.95267646123276
378,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_27",109.96009958880107
379,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_28",119.95002430495505
380,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_29",126.79544682199698
381,"Gamma(gapi)__fft_coefficient__attr_""angle""__coeff_30",47.38590841685743
382,"Gamma(gapi)__fft_aggregated__aggtype_""centroid""",117.33007539686865
383,"Gamma(gapi)__fft_aggregated__aggtype_""variance""",102.7783533032767
384,"Gamma(gapi)__fft_aggregated__aggtype_""skew""",113.76678313513169
385,"Gamma(gapi)__fft_aggregated__aggtype_""kurtosis""",88.49394904924901
386,Gamma(gapi)__value_count__value_0,118.49882441008222
387,Gamma(gapi)__value_count__value_1,118.49882441008222
388,Gamma(gapi)__value_count__value_-1,118.49882441008222
389,Gamma(gapi)__range_count__max_1__min_-1,118.49882441008222
390,Gamma(gapi)__range_count__max_0__min_-1000000000000.0,118.49882441008222
391,Gamma(gapi)__range_count__max_1000000000000.0__min_0,62.19582010801003
392,Gamma(gapi)__approximate_entropy__m_2__r_0.1,118.25166058500109
393,Gamma(gapi)__approximate_entropy__m_2__r_0.3,118.06326596641165
394,Gamma(gapi)__approximate_entropy__m_2__r_0.5,118.1402282631422
395,Gamma(gapi)__approximate_entropy__m_2__r_0.7,118.22490941508777
396,Gamma(gapi)__approximate_entropy__m_2__r_0.9,118.28890054958048
397,Gamma(gapi)__friedrich_coefficients__coeff_0__m_3__r_30,118.49937375828334
398,Gamma(gapi)__friedrich_coefficients__coeff_1__m_3__r_30,118.32572919112712
399,Gamma(gapi)__friedrich_coefficients__coeff_2__m_3__r_30,149.31493341689236
400,Gamma(gapi)__friedrich_coefficients__coeff_3__m_3__r_30,2028.0109738196522
401,"Gamma(gapi)__linear_trend__attr_""pvalue""",118.45506679303922
402,"Gamma(gapi)__linear_trend__attr_""rvalue""",118.49643963586807
403,"Gamma(gapi)__linear_trend__attr_""intercept""",27.751072279563168
404,"Gamma(gapi)__linear_trend__attr_""slope""",118.52817814708784
405,"Gamma(gapi)__linear_trend__attr_""stderr""",118.45025591548873
406,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",118.51202761189634
407,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",118.49685205487063
408,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",118.49430773301636
409,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""var""",118.4764740396773
410,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",118.52007049223086
411,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""",118.48368702096157
412,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",118.49474921901873
413,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""var""",118.50369494541566
414,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",119.04743720637576
415,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""min""",118.0730078416379
416,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""mean""",118.57316737329641
417,"Gamma(gapi)__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""",119.17823958097314
418,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""",27.294095633825
419,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",27.039637682311046
420,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",26.906399705716158
421,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""",109.14385537096223
422,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""",26.71143330056251
423,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""",26.659485463364053
424,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",25.839290405185945
425,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",98.81433865437837
426,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",26.88780450979331
427,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",29.823130767037735
428,"Gamma(gapi)__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",19.688836992885843
429,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""max""",118.6597630822604
430,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",118.67894206234686
431,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",118.6597241119
432,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",118.46287550994882
433,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",118.87225071415011
434,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""min""",118.86820743000625
435,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""",118.8557658133361
436,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""",118.11308272005762
437,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""max""",131.8013907418957
438,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""min""",107.1911307206003
439,"Gamma(gapi)__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",120.91023523614427
440,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",117.96707103827262
441,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",117.9723972566397
442,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""mean""",117.98333301140651
443,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",117.61875009402577
444,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",117.0614641874484
445,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",117.03232026931833
446,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",117.1183641773142
447,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""var""",114.08099065140611
448,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""",118.49882441008222
449,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""min""",118.49882441008222
450,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""",118.49882441008222
451,"Gamma(gapi)__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""",118.49882441008222
452,"Gamma(gapi)__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",120.12133862683271
453,"Gamma(gapi)__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""",118.02737646042604
454,"Gamma(gapi)__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""",112.55460332647468
455,Gamma(gapi)__number_crossing_m__m_0,118.49882441008222
456,Gamma(gapi)__number_crossing_m__m_-1,118.49882441008222
457,Gamma(gapi)__number_crossing_m__m_1,118.49882441008222
458,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_0,118.4006820393817
459,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_1,118.40141503193288
460,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_2,118.40081220836349
461,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_3,118.40101499889037
462,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_4,118.40085553779318
463,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_5,118.40156610013096
464,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_6,118.4016426097555
465,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_7,118.403795196782
466,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_8,118.40464429459846
467,Gamma(gapi)__energy_ratio_by_chunks__num_segments_10__segment_focus_9,118.40287625653535
468,Gamma(gapi)__ratio_beyond_r_sigma__r_0.5,117.83941462899183
469,Gamma(gapi)__ratio_beyond_r_sigma__r_1,118.15075674769973
470,Gamma(gapi)__ratio_beyond_r_sigma__r_1.5,118.38522442241114
471,Gamma(gapi)__ratio_beyond_r_sigma__r_2,118.46968101707827
472,Gamma(gapi)__ratio_beyond_r_sigma__r_2.5,118.49239165808397
473,Gamma(gapi)__ratio_beyond_r_sigma__r_3,118.49821820921575
474,Gamma(gapi)__ratio_beyond_r_sigma__r_5,118.49872437098671
475,Gamma(gapi)__ratio_beyond_r_sigma__r_6,118.49872437098671
476,Gamma(gapi)__ratio_beyond_r_sigma__r_7,118.49872437098671
477,Gamma(gapi)__ratio_beyond_r_sigma__r_10,118.49882441008222
478,Gamma(gapi)__count_above__t_0,117.53046639394019
479,Gamma(gapi)__count_below__t_0,118.49882441008222
480,Gamma(gapi)__lempel_ziv_complexity__bins_2,118.24602135529778
481,Gamma(gapi)__lempel_ziv_complexity__bins_3,118.18954506134102
482,Gamma(gapi)__lempel_ziv_complexity__bins_5,118.11096990614242
483,Gamma(gapi)__lempel_ziv_complexity__bins_10,118.00939518654071
484,Gamma(gapi)__lempel_ziv_complexity__bins_100,117.72108114551126
485,Gamma(gapi)__fourier_entropy__bins_2,118.28532617245246
486,Gamma(gapi)__fourier_entropy__bins_3,118.19578820800996
487,Gamma(gapi)__fourier_entropy__bins_5,118.05921683778124
488,Gamma(gapi)__fourier_entropy__bins_10,117.87336452362253
489,Gamma(gapi)__fourier_entropy__bins_100,117.18595644948556
490,Gamma(gapi)__permutation_entropy__dimension_3__tau_1,117.09158938938154
491,Gamma(gapi)__permutation_entropy__dimension_4__tau_1,116.3131122476075
492,Gamma(gapi)__permutation_entropy__dimension_5__tau_1,115.64678205102594
493,Gamma(gapi)__permutation_entropy__dimension_6__tau_1,115.19605077505605
494,Gamma(gapi)__permutation_entropy__dimension_7__tau_1,114.96043364495236
495,Gamma(gapi)__mean_n_absolute_max__number_of_maxima_7,25.652878221355472
