,feature,rmse
97,Gamma(gapi)__autocorrelation__lag_6,118.0935842359219
98,Gamma(gapi)__autocorrelation__lag_7,118.13139864272043
99,Gamma(gapi)__autocorrelation__lag_8,118.1672265732519
100,Gamma(gapi)__autocorrelation__lag_9,118.20587580233153
101,"Gamma(gapi)__agg_autocorrelation__f_agg_""mean""__maxlag_40",118.55159806893107
102,"Gamma(gapi)__agg_autocorrelation__f_agg_""median""__maxlag_40",118.56068699979942
103,"Gamma(gapi)__agg_autocorrelation__f_agg_""var""__maxlag_40",118.24997107849468
104,Gamma(gapi)__partial_autocorrelation__lag_0,117.53046639394019
105,Gamma(gapi)__partial_autocorrelation__lag_1,117.62627622542884
106,Gamma(gapi)__partial_autocorrelation__lag_2,118.94833907402996
107,Gamma(gapi)__partial_autocorrelation__lag_3,118.51865438355051
108,Gamma(gapi)__partial_autocorrelation__lag_4,118.24563905575228
109,Gamma(gapi)__partial_autocorrelation__lag_5,118.42468236039045
110,Gamma(gapi)__partial_autocorrelation__lag_7,118.46364750786293
111,Gamma(gapi)__partial_autocorrelation__lag_8,121.96888914409793
112,Gamma(gapi)__partial_autocorrelation__lag_9,119.03669561259262
113,Gamma(gapi)__number_cwt_peaks__n_1,109.74056076513111
114,Gamma(gapi)__number_cwt_peaks__n_5,111.69540667492664
115,Gamma(gapi)__number_peaks__n_1,109.96833173478186
116,Gamma(gapi)__number_peaks__n_3,113.0309700196473
117,Gamma(gapi)__number_peaks__n_5,115.37257035409186
118,Gamma(gapi)__number_peaks__n_10,117.20870801856047
119,Gamma(gapi)__number_peaks__n_50,118.49882441008222
120,Gamma(gapi)__binned_entropy__max_bins_10,116.48613504956317
121,Gamma(gapi)__index_mass_quantile__q_0.1,118.3907775011718
122,Gamma(gapi)__index_mass_quantile__q_0.2,118.29343768196402
123,Gamma(gapi)__index_mass_quantile__q_0.3,118.19741895942
124,Gamma(gapi)__index_mass_quantile__q_0.4,118.10312955773222
125,Gamma(gapi)__index_mass_quantile__q_0.6,117.91541449595647
126,Gamma(gapi)__index_mass_quantile__q_0.7,117.81926864369517
127,Gamma(gapi)__index_mass_quantile__q_0.8,117.72172341204374
