DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TOR(ft_lb),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi),MSE2(ksi),MSE(ksi)
33.5,68.09487805,,,-0.372134466,,0.319825784,0.14801506,,,,,,33.4968079,,,,
34,69.11121951,,,-0.377688712,,0.324599303,0.15022424,,,,,,33.99676025,,,,
34.5,70.12756098,,,-0.383242958,,0.329372822,0.15243342,,,,,,34.49671261,,,,
35,71.14390244,,,-0.388797204,,0.334146341,0.1546426,,,,,,34.99666497,,,,
35.5,72.1602439,,,-0.394351449,,0.338919861,0.15685178,,,,,,35.49661732,,,,
36,73.17658537,,,-0.399905695,,0.34369338,0.15906096,,,,,,35.99656968,,,,
36.5,74.19292683,,,-0.405459941,,0.348466899,0.16127014,,,,,,36.49652204,,,,
37,75.20926829,,,-0.411014187,,0.353240418,0.16347932,,,,,,36.99647439,,,,
37.5,76.22560976,,,-0.416568433,,0.358013937,0.1656885,,,,,,37.49642675,,,,
38,77.24195122,,,-0.422122678,,0.362787456,0.16789768,,,,,,37.99637911,,,,
38.5,78.25829268,,,-0.427676924,,0.367560976,0.17010686,,,,,,38.49633146,,,,
39,79.27463415,,,-0.43323117,,0.372334495,0.17231604,,,,,,38.99628382,,,,
39.5,80.29097561,,,-0.438785416,,0.377108014,0.17452522,,,,,,39.49623618,,,,
40,81.30731707,,,-0.444339661,,0.381881533,0.1767344,,,,,,39.99618853,,,,
40.5,82.32365854,,,-0.449893907,,0.386655052,0.17894358,,,,,,40.49614089,,,,
41,83.34,,,-0.455448153,,0.391428571,0.18115276,,,,,,40.99609325,,,,
41.5,84.35634146,,,-0.461002399,,0.396202091,0.18336194,,,,,,41.4960456,,,,
42,85.37268293,,,-0.466556644,,0.40097561,0.18557112,,,,,,41.99599796,,,,
42.5,86.38902439,,,-0.47211089,,0.405749129,0.1877803,,,,,,42.49595032,,,,
43,87.40536585,,,-0.477665136,,0.410522648,0.18998948,,,,,,42.99590267,,,,
43.5,88.42170732,,,-0.483219382,,0.415296167,0.19219866,,,,,,43.49585503,,,,
44,89.43804878,,,-0.488773627,,0.420069686,0.19440784,,,,,,43.99580739,,,,
44.5,90.45439024,,,-0.494327873,,0.424843206,0.19661702,,,,,,44.49575974,,,,
45,91.47073171,,,-0.499882119,,0.429616725,0.1988262,,,,,,44.9957121,,,,
45.5,92.48707317,,,-0.505436365,,0.434390244,0.20103538,,,,,,45.49566446,,,,
46,93.50341463,,,-0.510990611,,0.439163763,0.20324456,,,,,,45.99561681,,,,
46.5,94.5197561,,,-0.516544856,,0.443937282,0.20545374,,,,,,46.49556917,,,,
47,95.53609756,,,-0.522099102,,0.448710801,0.20766292,,,,,,46.99552153,,,,
47.5,96.55243902,,,-0.527653348,,0.453484321,0.2098721,,,,,,47.49547388,,,,
48,97.56878049,,,-0.533207594,,0.45825784,0.21208128,,,,,,47.99542624,,,,
48.5,98.58512195,,,-0.538761839,,0.463031359,0.21429046,,,,,,48.4953786,,,,
49,99.60146341,,,-0.544316085,,0.467804878,0.21649964,,,,,,48.99533095,,,,
49.5,100.6178049,,,-0.549870331,,0.472578397,0.21870882,,,,,,49.49528331,,,,
50,101.6341463,,,-0.555424577,,0.477351916,0.220918,,,,,,49.99523567,,,,
50.5,102.6504878,,,-0.560978822,,0.482125436,0.22312718,,,,,,50.49518802,,,,
51,103.6668293,,,-0.566533068,,0.486898955,0.22533636,,,,,,50.99514038,,,,
51.5,104.6831707,,,-0.572087314,,0.491672474,0.22754554,,,,,,51.49509274,,,,
52,105.6995122,,,-0.57764156,,0.496445993,0.22975472,,,,,,51.99504509,,,,
52.5,106.7158537,,,-0.583195806,,0.501219512,0.2319639,,,,,,52.49499745,,,,
53,107.7321951,,,-0.588750051,,0.505993031,0.23417308,,,,,,52.99494981,,,,
53.5,108.7485366,,,-0.594304297,,0.510766551,0.23638226,,,,,,53.49490216,,,,
54,109.764878,,,-0.599858543,,0.51554007,0.23859144,,,,,,53.99485452,,,,
54.5,110.7812195,,,-0.605412789,,0.520313589,0.24080062,,,,,,54.49480688,,,,
55,111.797561,,,-0.610967034,,0.525087108,0.2430098,,,,,,54.99475923,,,,
55.5,112.8139024,,,-0.61652128,,0.529860627,0.24521898,,,,,,55.49471159,,,,
56,113.8302439,,,-0.622075526,,0.534634146,0.24742816,,,,,,55.99466395,,,,
56.5,114.8465854,,,-0.627629772,,0.539407666,0.24963734,,,,,,56.4946163,,,,
57,115.8629268,,,-0.633184017,,0.544181185,0.25184652,,,,,,56.99456866,,,,
57.5,116.8792683,,,-0.638738263,,0.548954704,0.2540557,,,,,,57.49452102,,,,
58,117.8956098,,,-0.644292509,,0.553728223,0.25626488,,,,,,57.99447337,,,,
58.5,118.9119512,,,-0.649846755,,0.558501742,0.25847406,,,,,,58.49442573,,,,
59,119.9282927,,,-0.655401,,0.563275261,0.26068324,,,,,,58.99437809,,,,
59.5,120.9446341,,,-0.660955246,,0.56804878,0.26289242,,,,,,59.49433044,,,,
60,121.9609756,,,-0.666509492,,0.5728223,0.2651016,,,,,,59.9942828,,,,
60.5,122.9773171,,,-0.672063738,,0.577595819,0.26731078,,,,,,60.49423516,,,,
61,123.9936585,,,-0.677617984,,0.582369338,0.26951996,,,,,,60.99418751,,,,
61.5,125.01,,,-0.683172229,,0.587142857,0.27172914,,,,,,61.49413987,,,,
62,126.0263415,,,-0.688726475,,0.591916376,0.27393832,,,,,,61.99409223,,,,
62.5,127.0426829,,,-0.694280721,,0.596689895,0.2761475,,,,,,62.49404458,,,,
63,128.0590244,,,-0.699834967,,0.601463415,0.27835668,,,,,,62.99399694,,,,
63.5,129.0753659,,,-0.705389212,,0.606236934,0.28056586,,,,,,63.4939493,,,,
64,130.0917073,,,-0.710943458,,0.611010453,0.28277504,,,,,,63.99390165,,,,
64.5,131.1080488,,,-0.716497704,,0.615783972,0.28498422,,,,,,64.49385401,,,,
65,132.1243902,,,-0.72205195,,0.620557491,0.2871934,,,,,,64.99380637,,,,
65.5,133.1407317,,,-0.727606195,,0.62533101,0.28940258,,,,,,65.49375872,,,,
66,134.1570732,,,-0.733160441,,0.63010453,0.29161176,,,,,,65.99371108,,,,
66.5,135.1734146,,,-0.738714687,,0.634878049,0.29382094,,,,,,66.49366344,,,,
67,136.1897561,,,-0.744268933,,0.639651568,0.29603012,,,,,,66.99361579,,,,
67.5,137.2060976,,,-0.749823179,,0.644425087,0.2982393,,,,,,67.49356815,,,,
68,138.222439,,,-0.755377424,,0.649198606,0.30044848,,,,,,67.99352051,,,,
68.5,139.2387805,,,-0.76093167,,0.653972125,0.30265766,,,,,,68.49347286,,,,
69,140.255122,,,-0.766485916,,0.658745645,0.30486684,,,,,,68.99342522,,,,
69.5,141.2714634,,,-0.772040162,,0.663519164,0.30707602,,,,,,69.49337758,,,,
70,142.2878049,,,-0.777594407,,0.668292683,0.3092852,,,,,,69.99332993,,,,
70.5,143.3041463,,,-0.783148653,,0.673066202,0.31149438,,,,,,70.49328229,,,,
71,144.3204878,,,-0.788702899,,0.677839721,0.31370356,,,,,,70.99323465,,,,
71.5,145.3368293,,,-0.794257145,,0.68261324,0.31591274,,,,,,71.493187,,,,
72,146.3531707,,,-0.79981139,,0.68738676,0.31812192,,,,,,71.99313936,,,,
72.5,147.3695122,,,-0.805365636,,0.692160279,0.3203311,,,,,,72.49309172,,,,
73,148.3858537,,,-0.810919882,,0.696933798,0.32254028,,,,,,72.99304407,,,,
73.5,149.4021951,,,-0.816474128,,0.701707317,0.32474946,,,,,,73.49299643,,,,
74,150.4185366,,,-0.822028374,,0.706480836,0.32695864,,,,,,73.99294879,,,,
74.5,151.434878,,,-0.827582619,,0.711254355,0.32916782,,,,,,74.49290114,,,,
75,152.4512195,,,-0.833136865,,0.716027875,0.331377,,,,,,74.9928535,,,,
75.5,153.467561,,,-0.838691111,,0.720801394,0.33358618,,,,,,75.49280586,,,,
76,154.4839024,,,-0.844245357,,0.725574913,0.33579536,,,,,,75.99275821,,,,
76.5,155.5002439,,,-0.849799602,,0.730348432,0.33800454,,,,,,76.49271057,,,,
77,156.5165854,,,-0.855353848,,0.735121951,0.34021372,,,,,,76.99266293,,,,
77.5,157.5329268,,,-0.860908094,,0.73989547,0.3424229,,,,,,77.49261528,,,,
78,158.5492683,,,-0.86646234,,0.74466899,0.34463208,,,,,,77.99256764,,,,
78.5,159.5656098,,,-0.872016585,,0.749442509,0.34684126,,,,,,78.49252,,,,
79,160.5819512,,,-0.877570831,,0.754216028,0.34905044,,,,,,78.99247235,,,,
79.5,161.5982927,,,-0.883125077,,0.758989547,0.35125962,,,,,,79.49242471,,,,
80,162.6146341,,,-0.888679323,,0.763763066,0.3534688,,,,,,79.99237707,,,,
80.5,163.6309756,,,-0.894233568,,0.768536585,0.35567798,,,,,,80.49232942,,,,
81,164.6473171,,,-0.899787814,,0.773310105,0.35788716,,,,,,80.99228178,,,,
81.5,165.6636585,,,-0.90534206,,0.778083624,0.36009634,,,,,,81.49223414,,,,
82,166.68,,,-0.910896306,,0.782857143,0.36230552,,,,,,81.99218649,,,,
82.5,167.6963415,,,-0.916450552,,0.787630662,0.3645147,,,,,,82.49213885,,,,
83,168.7126829,,,-0.922004797,,0.792404181,0.36672388,,,,,,82.99209121,,,,
