DEPTH(ft),AZM(deg),BIT(in),DIFP(psi),EW(ft),Gamma(gapi),INC(deg),NS(ft),ROP(ft / min),RPM(rpm),SPP(psi),TOR(ft_lb),TPO(gal / min),TVD(ft),WOB(klbs),MSE1(ksi),MSE2(ksi),MSE(ksi)
4283,290.0621667,,,-280.6733174,,4.632777778,81.32752931,,,,,,4269.273546,,,,
4283.5,290.0743333,,,-280.7102593,,4.628888889,81.34121683,,,,,,4269.771988,,,,
4284,290.0865,,,-280.7472013,,4.625,81.35490436,,,,,,4270.27043,,,,
4284.5,290.0986667,,,-280.7841433,,4.621111111,81.36859188,,,,,,4270.768872,,,,
4285,290.1108333,,,-280.8210853,,4.617222222,81.3822794,,,,,,4271.267314,,,,
4285.5,290.123,,,-280.8580273,,4.613333333,81.39596693,,,,,,4271.765757,,,,
4286,290.1351667,,,-280.8949693,,4.609444444,81.40965445,,,,,,4272.264199,,,,
4286.5,290.1473333,,,-280.9319112,,4.605555556,81.42334197,,,,,,4272.762641,,,,
4287,290.1595,,,-280.9688532,,4.601666667,81.4370295,,,,,,4273.261083,,,,
4287.5,290.1716667,,,-281.0057952,,4.597777778,81.45071702,,,,,,4273.759526,,,,
4288,290.1838333,,,-281.0427372,,4.593888889,81.46440454,,,,,,4274.257968,,,,
4288.5,290.196,,,-281.0796792,,4.59,81.47809206,,,,,,4274.75641,,,,
4289,290.2081667,,,-281.1166212,,4.586111111,81.49177959,,,,,,4275.254852,,,,
4289.5,290.2203333,,,-281.1535631,,4.582222222,81.50546711,,,,,,4275.753294,,,,
4290,290.2325,,,-281.1905051,,4.578333333,81.51915463,,,,,,4276.251737,,,,
4290.5,290.2446667,,,-281.2274471,,4.574444444,81.53284216,,,,,,4276.750179,,,,
4291,290.2568333,,,-281.2643891,,4.570555556,81.54652968,,,,,,4277.248621,,,,
4291.5,290.269,,,-281.3013311,,4.566666667,81.5602172,,,,,,4277.747063,,,,
4292,290.2811667,,,-281.3382731,,4.562777778,81.57390473,,,,,,4278.245505,,,,
4292.5,290.2933333,,,-281.375215,,4.558888889,81.58759225,,,,,,4278.743948,,,,
4293,290.3055,,,-281.412157,,4.555,81.60127977,,,,,,4279.24239,,,,
4293.5,290.3176667,,,-281.449099,,4.551111111,81.6149673,,,,,,4279.740832,,,,
4294,290.3298333,,,-281.486041,,4.547222222,81.62865482,,,,,,4280.239274,,,,
4294.5,290.342,,,-281.522983,,4.543333333,81.64234234,,,,,,4280.737717,,,,
4295,290.3541667,,,-281.559925,,4.539444444,81.65602986,,,,,,4281.236159,,,,
4295.5,290.3663333,,,-281.5968669,,4.535555556,81.66971739,,,,,,4281.734601,,,,
4296,290.3785,,,-281.6338089,,4.531666667,81.68340491,,,,,,4282.233043,,,,
4296.5,290.3906667,,,-281.6707509,,4.527777778,81.69709243,,,,,,4282.731485,,,,
4297,290.4028333,,,-281.7076929,,4.523888889,81.71077996,,,,,,4283.229928,,,,
4297.5,290.415,,,-281.7446349,,4.52,81.72446748,,,,,,4283.72837,,,,
4298,290.4271667,,,-281.7815768,,4.516111111,81.738155,,,,,,4284.226812,,,,
4298.5,290.4393333,,,-281.8185188,,4.512222222,81.75184253,,,,,,4284.725254,,,,
4299,290.4515,,,-281.8554608,,4.508333333,81.76553005,,,,,,4285.223697,,,,
4299.5,290.4636667,,,-281.8924028,,4.504444444,81.77921757,,,,,,4285.722139,,,,
4300,290.4758333,,,-281.9293448,,4.500555556,81.7929051,,,,,,4286.220581,,,,
4300.5,290.488,,,-281.9662868,,4.496666667,81.80659262,,,,,,4286.719023,,,,
4301,290.5001667,,,-282.0032287,,4.492777778,81.82028014,,,,,,4287.217465,,,,
4301.5,290.5123333,,,-282.0401707,,4.488888889,81.83396766,,,,,,4287.715908,,,,
4302,290.5245,,,-282.0771127,,4.485,81.84765519,,,,,,4288.21435,,,,
4302.5,290.5366667,,,-282.1140547,,4.481111111,81.86134271,,,,,,4288.712792,,,,
4303,290.5488333,,,-282.1509967,,4.477222222,81.87503023,,,,,,4289.211234,,,,
4303.5,290.561,,,-282.1879387,,4.473333333,81.88871776,,,,,,4289.709676,,,,
4304,290.5731667,,,-282.2248806,,4.469444444,81.90240528,,,,,,4290.208119,,,,
4304.5,290.5853333,,,-282.2618226,,4.465555556,81.9160928,,,,,,4290.706561,,,,
4305,290.5975,,,-282.2987646,,4.461666667,81.92978033,,,,,,4291.205003,,,,
4305.5,290.6096667,,,-282.3357066,,4.457777778,81.94346785,,,,,,4291.703445,,,,
4306,290.6218333,,,-282.3726486,,4.453888889,81.95715537,,,,,,4292.201888,,,,
4306.5,290.634,,,-282.4095906,,4.45,81.97084289,,,,,,4292.70033,,,,
4307,290.6461667,,,-282.4465325,,4.446111111,81.98453042,,,,,,4293.198772,,,,
4307.5,290.6583333,,,-282.4834745,,4.442222222,81.99821794,,,,,,4293.697214,,,,
4308,290.6705,,,-282.5204165,,4.438333333,82.01190546,,,,,,4294.195656,,,,
4308.5,290.6826667,,,-282.5573585,,4.434444444,82.02559299,,,,,,4294.694099,,,,
4309,290.6948333,,,-282.5943005,,4.430555556,82.03928051,,,,,,4295.192541,,,,
4309.5,290.707,,,-282.6312425,,4.426666667,82.05296803,,,,,,4295.690983,,,,
4310,290.7191667,,,-282.6681844,,4.422777778,82.06665556,,,,,,4296.189425,,,,
4310.5,290.7313333,,,-282.7051264,,4.418888889,82.08034308,,,,,,4296.687868,,,,
4311,290.7435,,,-282.7420684,,4.415,82.0940306,,,,,,4297.18631,,,,
4311.5,290.7556667,,,-282.7790104,,4.411111111,82.10771813,,,,,,4297.684752,,,,
4312,290.7678333,,,-282.8159524,,4.407222222,82.12140565,,,,,,4298.183194,,,,
4312.5,290.78,,,-282.8528944,,4.403333333,82.13509317,,,,,,4298.681636,,,,
4313,290.7921667,,,-282.8898363,,4.399444444,82.14878069,,,,,,4299.180079,,,,
4313.5,290.8043333,,,-282.9267783,,4.395555556,82.16246822,,,,,,4299.678521,,,,
4314,290.8165,,,-282.9637203,,4.391666667,82.17615574,,,,,,4300.176963,,,,
4314.5,290.8286667,,,-283.0006623,,4.387777778,82.18984326,,,,,,4300.675405,,,,
4315,290.8408333,,,-283.0376043,,4.383888889,82.20353079,,,,,,4301.173847,,,,
4315.5,290.853,,,-283.0745462,,4.38,82.21721831,,,,,,4301.67229,,,,
4316,290.8651667,,,-283.1114882,,4.376111111,82.23090583,,,,,,4302.170732,,,,
4316.5,290.8773333,,,-283.1484302,,4.372222222,82.24459336,,,,,,4302.669174,,,,
4317,290.8895,,,-283.1853722,,4.368333333,82.25828088,,,,,,4303.167616,,,,
4317.5,290.9016667,,,-283.2223142,,4.364444444,82.2719684,,,,,,4303.666059,,,,
4318,290.9138333,,,-283.2592562,,4.360555556,82.28565593,,,,,,4304.164501,,,,
4318.5,290.926,,,-283.2961981,,4.356666667,82.29934345,,,,,,4304.662943,,,,
4319,290.9381667,,,-283.3331401,,4.352777778,82.31303097,,,,,,4305.161385,,,,
4319.5,290.9503333,,,-283.3700821,,4.348888889,82.32671849,,,,,,4305.659827,,,,
4320,290.9625,,,-283.4070241,,4.345,82.34040602,,,,,,4306.15827,,,,
4320.5,290.9746667,,,-283.4439661,,4.341111111,82.35409354,,,,,,4306.656712,,,,
4321,290.9868333,,,-283.4809081,,4.337222222,82.36778106,,,,,,4307.155154,,,,
4321.5,290.999,,,-283.51785,,4.333333333,82.38146859,,,,,,4307.653596,,,,
4322,291.0111667,,,-283.554792,,4.329444444,82.39515611,,,,,,4308.152039,,,,
4322.5,291.0233333,,,-283.591734,,4.325555556,82.40884363,,,,,,4308.650481,,,,
4323,291.0355,,,-283.628676,,4.321666667,82.42253116,,,,,,4309.148923,,,,
4323.5,291.0476667,,,-283.665618,,4.317777778,82.43621868,,,,,,4309.647365,,,,
4324,291.0598333,,,-283.70256,,4.313888889,82.4499062,,,,,,4310.145807,,,,
4324.5,291.072,,,-283.7395019,,4.31,82.46359373,,,,,,4310.64425,,,,
4325,291.0841667,,,-283.7764439,,4.306111111,82.47728125,,,,,,4311.142692,,,,
4325.5,291.0963333,,,-283.8133859,,4.302222222,82.49096877,,,,,,4311.641134,,,,
4326,291.1085,,,-283.8503279,,4.298333333,82.50465629,,,,,,4312.139576,,,,
4326.5,291.1206667,,,-283.8872699,,4.294444444,82.51834382,,,,,,4312.638018,,,,
4327,291.1328333,,,-283.9242119,,4.290555556,82.53203134,,,,,,4313.136461,,,,
4327.5,291.145,,,-283.9611538,,4.286666667,82.54571886,,,,,,4313.634903,,,,
4328,291.1571667,,,-283.9980958,,4.282777778,82.55940639,,,,,,4314.133345,,,,
4328.5,291.1693333,,,-284.0350378,,4.278888889,82.57309391,,,,,,4314.631787,,,,
4329,291.1815,,,-284.0719798,,4.275,82.58678143,,,,,,4315.13023,,,,
4329.5,291.1936667,,,-284.1089218,,4.271111111,82.60046896,,,,,,4315.628672,,,,
4330,291.2058333,,,-284.1458638,,4.267222222,82.61415648,,,,,,4316.127114,,,,
4330.5,291.218,,,-284.1828057,,4.263333333,82.627844,,,,,,4316.625556,,,,
4331,291.2301667,,,-284.2197477,,4.259444444,82.64153152,,,,,,4317.123998,,,,
4331.5,291.2423333,,,-284.2566897,,4.255555556,82.65521905,,,,,,4317.622441,,,,
4332,291.2545,,,-284.2936317,,4.251666667,82.66890657,,,,,,4318.120883,,,,
4332.5,291.2666667,,,-284.3305737,,4.247777778,82.68259409,,,,,,4318.619325,,,,
4333,291.2788333,,,-284.3675156,,4.243888889,82.69628162,,,,,,4319.117767,,,,
4333.5,291.291,,,-284.4044576,,4.24,82.70996914,,,,,,4319.61621,,,,
4334,291.3031667,,,-284.4413996,,4.236111111,82.72365666,,,,,,4320.114652,,,,
4334.5,291.3153333,,,-284.4783416,,4.232222222,82.73734419,,,,,,4320.613094,,,,
4335,291.3275,,,-284.5152836,,4.228333333,82.75103171,,,,,,4321.111536,,,,
4335.5,291.3396667,,,-284.5522256,,4.224444444,82.76471923,,,,,,4321.609978,,,,
4336,291.3518333,,,-284.5891675,,4.220555556,82.77840676,,,,,,4322.108421,,,,
4336.5,291.364,,,-284.6261095,,4.216666667,82.79209428,,,,,,4322.606863,,,,
4337,291.3761667,,,-284.6630515,,4.212777778,82.8057818,,,,,,4323.105305,,,,
4337.5,291.3883333,,,-284.6999935,,4.208888889,82.81946932,,,,,,4323.603747,,,,
4338,291.4005,,,-284.7369355,,4.205,82.83315685,,,,,,4324.102189,,,,
4338.5,291.4126667,,,-284.7738775,,4.201111111,82.84684437,,,,,,4324.600632,,,,
4339,291.4248333,,,-284.8108194,,4.197222222,82.86053189,,,,,,4325.099074,,,,
4339.5,291.437,,,-284.8477614,,4.193333333,82.87421942,,,,,,4325.597516,,,,
4340,291.4491667,,,-284.8847034,,4.189444444,82.88790694,,,,,,4326.095958,,,,
4340.5,291.4613333,,,-284.9216454,,4.185555556,82.90159446,,,,,,4326.594401,,,,
4341,291.4735,,,-284.9585874,,4.181666667,82.91528199,,,,,,4327.092843,,,,
4341.5,291.4856667,,,-284.9955294,,4.177777778,82.92896951,,,,,,4327.591285,,,,
4342,291.4978333,,,-285.0324713,,4.173888889,82.94265703,,,,,,4328.089727,,,,
4342.5,291.51,,,-285.0694133,,4.17,82.95634456,,,,,,4328.588169,,,,
4343,291.5186111,,,-285.10093,,4.167055556,82.96922714,,,,,,4329.087007,,,,
4343.5,291.5272222,,,-285.1324467,,4.164111111,82.98210972,,,,,,4329.585844,,,,
4344,291.5358333,,,-285.1639635,,4.161166667,82.9949923,,,,,,4330.084682,,,,
4344.5,291.5444444,,,-285.1954802,,4.158222222,83.00787488,,,,,,4330.58352,,,,
4345,291.5530556,,,-285.2269969,,4.155277778,83.02075746,,,,,,4331.082357,,,,
4345.5,291.5616667,,,-285.2585136,,4.152333333,83.03364004,,,,,,4331.581195,,,,
4346,291.5702778,,,-285.2900303,,4.149388889,83.04652262,,,,,,4332.080032,,,,
4346.5,291.5788889,,,-285.321547,,4.146444444,83.0594052,,,,,,4332.57887,,,,
4347,291.5875,,,-285.3530637,,4.1435,83.07228778,,,,,,4333.077707,,,,
4347.5,291.5961111,,,-285.3845804,,4.140555556,83.08517037,,,,,,4333.576545,,,,
4348,291.6047222,,,-285.4160971,,4.137611111,83.09805295,,,,,,4334.075382,,,,
4348.5,291.6133333,,,-285.4476138,,4.134666667,83.11093553,,,,,,4334.57422,,,,
4349,291.6219444,,,-285.4791306,,4.131722222,83.12381811,,,,,,4335.073057,,,,
4349.5,291.6305556,,,-285.5106473,,4.128777778,83.13670069,,,,,,4335.571895,,,,
4350,291.6391667,,,-285.542164,,4.125833333,83.14958327,,,,,,4336.070732,,,,
4350.5,291.6477778,,,-285.5736807,,4.122888889,83.16246585,,,,,,4336.56957,,,,
4351,291.6563889,,,-285.6051974,,4.119944444,83.17534843,,,,,,4337.068407,,,,
4351.5,291.665,,,-285.6367141,,4.117,83.18823101,,,,,,4337.567245,,,,
4352,291.6736111,,,-285.6682308,,4.114055556,83.20111359,,,,,,4338.066083,,,,
4352.5,291.6822222,,,-285.6997475,,4.111111111,83.21399618,,,,,,4338.56492,,,,
4353,291.6908333,,,-285.7312642,,4.108166667,83.22687876,,,,,,4339.063758,,,,
4353.5,291.6994444,,,-285.7627809,,4.105222222,83.23976134,,,,,,4339.562595,,,,
4354,291.7080556,,,-285.7942977,,4.102277778,83.25264392,,,,,,4340.061433,,,,
4354.5,291.7166667,,,-285.8258144,,4.099333333,83.2655265,,,,,,4340.56027,,,,
4355,291.7252778,,,-285.8573311,,4.096388889,83.27840908,,,,,,4341.059108,,,,
4355.5,291.7338889,,,-285.8888478,,4.093444444,83.29129166,,,,,,4341.557945,,,,
4356,291.7425,,,-285.9203645,,4.0905,83.30417424,,,,,,4342.056783,,,,
4356.5,291.7511111,,,-285.9518812,,4.087555556,83.31705682,,,,,,4342.55562,,,,
4357,291.7597222,,,-285.9833979,,4.084611111,83.3299394,,,,,,4343.054458,,,,
4357.5,291.7683333,,,-286.0149146,,4.081666667,83.34282199,,,,,,4343.553295,,,,
4358,291.7769444,,,-286.0464313,,4.078722222,83.35570457,,,,,,4344.052133,,,,
4358.5,291.7855556,,,-286.077948,,4.075777778,83.36858715,,,,,,4344.55097,,,,
4359,291.7941667,,,-286.1094648,,4.072833333,83.38146973,,,,,,4345.049808,,,,
4359.5,291.8027778,,,-286.1409815,,4.069888889,83.39435231,,,,,,4345.548646,,,,
4360,291.8113889,,,-286.1724982,,4.066944444,83.40723489,,,,,,4346.047483,,,,
4360.5,291.82,,,-286.2040149,,4.064,83.42011747,,,,,,4346.546321,,,,
4361,291.8286111,,,-286.2355316,,4.061055556,83.43300005,,,,,,4347.045158,,,,
4361.5,291.8372222,,,-286.2670483,,4.058111111,83.44588263,,,,,,4347.543996,,,,
4362,291.8458333,,,-286.298565,,4.055166667,83.45876521,,,,,,4348.042833,,,,
4362.5,291.8544444,,,-286.3300817,,4.052222222,83.4716478,,,,,,4348.541671,,,,
4363,291.8630556,,,-286.3615984,,4.049277778,83.48453038,,,,,,4349.040508,,,,
4363.5,291.8716667,,,-286.3931152,,4.046333333,83.49741296,,,,,,4349.539346,,,,
4364,291.8802778,,,-286.4246319,,4.043388889,83.51029554,,,,,,4350.038183,,,,
4364.5,291.8888889,,,-286.4561486,,4.040444444,83.52317812,,,,,,4350.537021,,,,
4365,291.8975,,,-286.4876653,,4.0375,83.5360607,,,,,,4351.035858,,,,
4365.5,291.9061111,,,-286.519182,,4.034555556,83.54894328,,,,,,4351.534696,,,,
4366,291.9147222,,,-286.5506987,,4.031611111,83.56182586,,,,,,4352.033533,,,,
4366.5,291.9233333,,,-286.5822154,,4.028666667,83.57470844,,,,,,4352.532371,,,,
4367,291.9319444,,,-286.6137321,,4.025722222,83.58759102,,,,,,4353.031208,,,,
4367.5,291.9405556,,,-286.6452488,,4.022777778,83.60047361,,,,,,4353.530046,,,,
4368,291.9491667,,,-286.6767655,,4.019833333,83.61335619,,,,,,4354.028884,,,,
4368.5,291.9577778,,,-286.7082823,,4.016888889,83.62623877,,,,,,4354.527721,,,,
4369,291.9663889,,,-286.739799,,4.013944444,83.63912135,,,,,,4355.026559,,,,
4369.5,291.975,,,-286.7713157,,4.011,83.65200393,,,,,,4355.525396,,,,
4370,291.9836111,,,-286.8028324,,4.008055556,83.66488651,,,,,,4356.024234,,,,
4370.5,291.9922222,,,-286.8343491,,4.005111111,83.67776909,,,,,,4356.523071,,,,
4371,292.0008333,,,-286.8658658,,4.002166667,83.69065167,,,,,,4357.021909,,,,
4371.5,292.0094444,,,-286.8973825,,3.999222222,83.70353425,,,,,,4357.520746,,,,
4372,292.0180556,,,-286.9288992,,3.996277778,83.71641683,,,,,,4358.019584,,,,
4372.5,292.0266667,,,-286.9604159,,3.993333333,83.72929942,,,,,,4358.518421,,,,
4373,292.0352778,,,-286.9919326,,3.990388889,83.742182,,,,,,4359.017259,,,,
4373.5,292.0438889,,,-287.0234494,,3.987444444,83.75506458,,,,,,4359.516096,,,,
4374,292.0525,,,-287.0549661,,3.9845,83.76794716,,,,,,4360.014934,,,,
4374.5,292.0611111,,,-287.0864828,,3.981555556,83.78082974,,,,,,4360.513771,,,,
4375,292.0697222,,,-287.1179995,,3.978611111,83.79371232,,,,,,4361.012609,,,,
4375.5,292.0783333,,,-287.1495162,,3.975666667,83.8065949,,,,,,4361.511447,,,,
4376,292.0869444,,,-287.1810329,,3.972722222,83.81947748,,,,,,4362.010284,,,,
4376.5,292.0955556,,,-287.2125496,,3.969777778,83.83236006,,,,,,4362.509122,,,,
4377,292.1041667,,,-287.2440663,,3.966833333,83.84524264,,,,,,4363.007959,,,,
4377.5,292.1127778,,,-287.275583,,3.963888889,83.85812522,,,,,,4363.506797,,,,
4378,292.1213889,,,-287.3070997,,3.960944444,83.87100781,,,,,,4364.005634,,,,
4378.5,292.13,,,-287.3386165,,3.958,83.88389039,,,,,,4364.504472,,,,
4379,292.1386111,,,-287.3701332,,3.955055556,83.89677297,,,,,,4365.003309,,,,
4379.5,292.1472222,,,-287.4016499,,3.952111111,83.90965555,,,,,,4365.502147,,,,
4380,292.1558333,,,-287.4331666,,3.949166667,83.92253813,,,,,,4366.000984,,,,
4380.5,292.1644444,,,-287.4646833,,3.946222222,83.93542071,,,,,,4366.499822,,,,
4381,292.1730556,,,-287.4962,,3.943277778,83.94830329,,,,,,4366.998659,,,,
4381.5,292.1816667,,,-287.5277167,,3.940333333,83.96118587,,,,,,4367.497497,,,,
4382,292.1902778,,,-287.5592334,,3.937388889,83.97406845,,,,,,4367.996334,,,,
4382.5,292.1988889,,,-287.5907501,,3.934444444,83.98695103,,,,,,4368.495172,,,,
4383,292.2075,,,-287.6222668,,3.9315,83.99983362,,,,,,4368.994009,,,,
4383.5,292.2161111,,,-287.6537836,,3.928555556,84.0127162,,,,,,4369.492847,,,,
4384,292.2247222,,,-287.6853003,,3.925611111,84.02559878,,,,,,4369.991685,,,,
4384.5,292.2333333,,,-287.716817,,3.922666667,84.03848136,,,,,,4370.490522,,,,
4385,292.2419444,,,-287.7483337,,3.919722222,84.05136394,,,,,,4370.98936,,,,
4385.5,292.2505556,,,-287.7798504,,3.916777778,84.06424652,,,,,,4371.488197,,,,
4386,292.2591667,,,-287.8113671,,3.913833333,84.0771291,,,,,,4371.987035,,,,
4386.5,292.2677778,,,-287.8428838,,3.910888889,84.09001168,,,,,,4372.485872,,,,
4387,292.2763889,,,-287.8744005,,3.907944444,84.10289426,,,,,,4372.98471,,,,
4387.5,292.285,,,-287.9059172,,3.905,84.11577684,,,,,,4373.483547,,,,
4388,292.2936111,,,-287.937434,,3.902055556,84.12865943,,,,,,4373.982385,,,,
4388.5,292.3022222,,,-287.9689507,,3.899111111,84.14154201,,,,,,4374.481222,,,,
4389,292.3108333,,,-288.0004674,,3.896166667,84.15442459,,,,,,4374.98006,,,,
4389.5,292.3194444,,,-288.0319841,,3.893222222,84.16730717,,,,,,4375.478897,,,,
4390,292.3280556,,,-288.0635008,,3.890277778,84.18018975,,,,,,4375.977735,,,,
4390.5,292.3366667,,,-288.0950175,,3.887333333,84.19307233,,,,,,4376.476572,,,,
4391,292.3452778,,,-288.1265342,,3.884388889,84.20595491,,,,,,4376.97541,,,,
4391.5,292.3538889,,,-288.1580509,,3.881444444,84.21883749,,,,,,4377.474248,,,,
4392,292.3625,,,-288.1895676,,3.8785,84.23172007,,,,,,4377.973085,,,,
4392.5,292.3711111,,,-288.2210843,,3.875555556,84.24460265,,,,,,4378.471923,,,,
4393,292.3797222,,,-288.2526011,,3.872611111,84.25748524,,,,,,4378.97076,,,,
4393.5,292.3883333,,,-288.2841178,,3.869666667,84.27036782,,,,,,4379.469598,,,,
4394,292.3969444,,,-288.3156345,,3.866722222,84.2832504,,,,,,4379.968435,,,,
4394.5,292.4055556,,,-288.3471512,,3.863777778,84.29613298,,,,,,4380.467273,,,,
4395,292.4141667,,,-288.3786679,,3.860833333,84.30901556,,,,,,4380.96611,,,,
4395.5,292.4227778,,,-288.4101846,,3.857888889,84.32189814,,,,,,4381.464948,,,,
4396,292.4313889,,,-288.4417013,,3.854944444,84.33478072,,,,,,4381.963785,,,,
4396.5,292.44,,,-288.473218,,3.852,84.3476633,,,,,,4382.462623,,,,
4397,292.4486111,,,-288.5047347,,3.849055556,84.36054588,,,,,,4382.96146,,,,
4397.5,292.4572222,,,-288.5362514,,3.846111111,84.37342846,,,,,,4383.460298,,,,
4398,292.4658333,,,-288.5677682,,3.843166667,84.38631105,,,,,,4383.959135,,,,
4398.5,292.4744444,,,-288.5992849,,3.840222222,84.39919363,,,,,,4384.457973,,,,
4399,292.4830556,,,-288.6308016,,3.837277778,84.41207621,,,,,,4384.956811,,,,
4399.5,292.4916667,,,-288.6623183,,3.834333333,84.42495879,,,,,,4385.455648,,,,
4400,292.5002778,,,-288.693835,,3.831388889,84.43784137,,,,,,4385.954486,,,,
4400.5,292.5088889,,,-288.7253517,,3.828444444,84.45072395,,,,,,4386.453323,,,,
4401,292.5175,,,-288.7568684,,3.8255,84.46360653,,,,,,4386.952161,,,,
4401.5,292.5261111,,,-288.7883851,,3.822555556,84.47648911,,,,,,4387.450998,,,,
4402,292.5347222,,,-288.8199018,,3.819611111,84.48937169,,,,,,4387.949836,,,,
4402.5,292.5433333,,,-288.8514185,,3.816666667,84.50225427,,,,,,4388.448673,,,,
4403,292.5519444,,,-288.8829353,,3.813722222,84.51513686,,,,,,4388.947511,,,,
4403.5,292.5605556,,,-288.914452,,3.810777778,84.52801944,,,,,,4389.446348,,,,
4404,292.5691667,,,-288.9459687,,3.807833333,84.54090202,,,,,,4389.945186,,,,
4404.5,292.5777778,,,-288.9774854,,3.804888889,84.5537846,,,,,,4390.444023,,,,
4405,292.5863889,,,-289.0090021,,3.801944444,84.56666718,,,,,,4390.942861,,,,
4405.5,292.595,,,-289.0405188,,3.799,84.57954976,,,,,,4391.441698,,,,
4406,292.6036111,,,-289.0720355,,3.796055556,84.59243234,,,,,,4391.940536,,,,
4406.5,292.6122222,,,-289.1035522,,3.793111111,84.60531492,,,,,,4392.439373,,,,
4407,292.6208333,,,-289.1350689,,3.790166667,84.6181975,,,,,,4392.938211,,,,
4407.5,292.6294444,,,-289.1665856,,3.787222222,84.63108008,,,,,,4393.437049,,,,
4408,292.6380556,,,-289.1981024,,3.784277778,84.64396267,,,,,,4393.935886,,,,
4408.5,292.6466667,,,-289.2296191,,3.781333333,84.65684525,,,,,,4394.434724,,,,
4409,292.6552778,,,-289.2611358,,3.778388889,84.66972783,,,,,,4394.933561,,,,
4409.5,292.6638889,,,-289.2926525,,3.775444444,84.68261041,,,,,,4395.432399,,,,
4410,292.6725,,,-289.3241692,,3.7725,84.69549299,,,,,,4395.931236,,,,
4410.5,292.6811111,,,-289.3556859,,3.769555556,84.70837557,,,,,,4396.430074,,,,
4411,292.6897222,,,-289.3872026,,3.766611111,84.72125815,,,,,,4396.928911,,,,
4411.5,292.6983333,,,-289.4187193,,3.763666667,84.73414073,,,,,,4397.427749,,,,
4412,292.7069444,,,-289.450236,,3.760722222,84.74702331,,,,,,4397.926586,,,,
4412.5,292.7155556,,,-289.4817528,,3.757777778,84.75990589,,,,,,4398.425424,,,,
4413,292.7241667,,,-289.5132695,,3.754833333,84.77278848,,,,,,4398.924261,,,,
4413.5,292.7327778,,,-289.5447862,,3.751888889,84.78567106,,,,,,4399.423099,,,,
4414,292.7413889,,,-289.5763029,,3.748944444,84.79855364,,,,,,4399.921936,,,,
4414.5,292.75,,,-289.6078196,,3.746,84.81143622,,,,,,4400.420774,,,,
4415,292.7586111,,,-289.6393363,,3.743055556,84.8243188,,,,,,4400.919612,,,,
4415.5,292.7672222,,,-289.670853,,3.740111111,84.83720138,,,,,,4401.418449,,,,
4416,292.7758333,,,-289.7023697,,3.737166667,84.85008396,,,,,,4401.917287,,,,
4416.5,292.7844444,,,-289.7338864,,3.734222222,84.86296654,,,,,,4402.416124,,,,
4417,292.7930556,,,-289.7654031,,3.731277778,84.87584912,,,,,,4402.914962,,,,
4417.5,292.8016667,,,-289.7969199,,3.728333333,84.8887317,,,,,,4403.413799,,,,
4418,292.8102778,,,-289.8284366,,3.725388889,84.90161429,,,,,,4403.912637,,,,
4418.5,292.8188889,,,-289.8599533,,3.722444444,84.91449687,,,,,,4404.411474,,,,
4419,292.8275,,,-289.89147,,3.7195,84.92737945,,,,,,4404.910312,,,,
4419.5,292.8361111,,,-289.9229867,,3.716555556,84.94026203,,,,,,4405.409149,,,,
4420,292.8447222,,,-289.9545034,,3.713611111,84.95314461,,,,,,4405.907987,,,,
4420.5,292.8533333,,,-289.9860201,,3.710666667,84.96602719,,,,,,4406.406824,,,,
4421,292.8619444,,,-290.0175368,,3.707722222,84.97890977,,,,,,4406.905662,,,,
4421.5,292.8705556,,,-290.0490535,,3.704777778,84.99179235,,,,,,4407.404499,,,,
4422,292.8791667,,,-290.0805702,,3.701833333,85.00467493,,,,,,4407.903337,,,,
4422.5,292.8877778,,,-290.112087,,3.698888889,85.01755751,,,,,,4408.402175,,,,
4423,292.8963889,,,-290.1436037,,3.695944444,85.0304401,,,,,,4408.901012,,,,
4423.5,292.905,,,-290.1751204,,3.693,85.04332268,,,,,,4409.39985,,,,
4424,292.9136111,,,-290.2066371,,3.690055556,85.05620526,,,,,,4409.898687,,,,
4424.5,292.9222222,,,-290.2381538,,3.687111111,85.06908784,,,,,,4410.397525,,,,
4425,292.9308333,,,-290.2696705,,3.684166667,85.08197042,,,,,,4410.896362,,,,
4425.5,292.9394444,,,-290.3011872,,3.681222222,85.094853,,,,,,4411.3952,,,,
4426,292.9480556,,,-290.3327039,,3.678277778,85.10773558,,,,,,4411.894037,,,,
4426.5,292.9566667,,,-290.3642206,,3.675333333,85.12061816,,,,,,4412.392875,,,,
4427,292.9652778,,,-290.3957373,,3.672388889,85.13350074,,,,,,4412.891712,,,,
4427.5,292.9738889,,,-290.4272541,,3.669444444,85.14638332,,,,,,4413.39055,,,,
4428,292.9825,,,-290.4587708,,3.6665,85.15926591,,,,,,4413.889387,,,,
4428.5,292.9911111,,,-290.4902875,,3.663555556,85.17214849,,,,,,4414.388225,,,,
4429,292.9997222,,,-290.5218042,,3.660611111,85.18503107,,,,,,4414.887062,,,,
4429.5,293.0083333,,,-290.5533209,,3.657666667,85.19791365,,,,,,4415.3859,,,,
4430,293.0169444,,,-290.5848376,,3.654722222,85.21079623,,,,,,4415.884737,,,,
4430.5,293.0255556,,,-290.6163543,,3.651777778,85.22367881,,,,,,4416.383575,,,,
4431,293.0341667,,,-290.647871,,3.648833333,85.23656139,,,,,,4416.882413,,,,
4431.5,293.0427778,,,-290.6793877,,3.645888889,85.24944397,,,,,,4417.38125,,,,
